Id,DateCreated,UserId,SendAmount,SendCurrencyId,ReceiveAmount,ReceiveCurrencyId,Narration,ExchangeRate,BaseAmount
1800387,2023-12-31,bca5-4807-b5d,80,CAD,71600,NGN,Other Personal Services,895,80
1800388,2023-12-31,ac3f-40af-be1,1198390,NGN,1317,CAD,Education Services,0.001098901,1317
1800390,2023-12-31,bca5-4807-b5d,23,CAD,20585,NGN,Other Personal Services,895,23
1800391,2023-12-31,5a37-4002-a9a,200,CAD,179000,NGN,Other Personal Services,895,200
1800392,2023-12-31,bca5-4807-b5d,17,CAD,15215,NGN,Other Personal Services,895,17
1800393,2023-12-31,7c1b-4601-8e8,84,CAD,75180,NGN,Other Personal Services,895,84
1800395,2023-12-31,3bec-483d-8a5,21,CAD,18795,NGN,School-Related,895,21
1800398,2023-12-31,18a2-4327-98b,200,CAD,179000,NGN,Goods and Services,895,200
1800400,2023-12-31,f375-4108-a95,50,CAD,44750,NGN,Investment Income,895,50
1800401,2023-12-31,a684-468e-8c3,50,CAD,44750,NGN,School-Related,895,50
1800402,2023-12-31,bd2d-49f0-a41,9000,NGN,9000,NGN,Debit Account,1,10
1800404,2023-12-31,db18-4a6d-898,500,CAD,447500,NGN,Health-Related,895,500
1800405,2023-12-31,4b23-4162-bb1,1470000,NGN,1615,CAD,Goods and Services,0.001098901,1615
1800406,2023-12-31,5462-4b2a-871,1000,CAD,895000,NGN,Grants and Gifts,895,1000
1800407,2023-12-31,3ab4-4146-87e,34,CAD,30430,NGN,Other Personal Services,895,34
1800410,2023-12-31,37fa-4dfd-9f9,12,CAD,10740,NGN,Grants and Gifts,895,12
1800411,2023-12-31,3ab4-4146-87e,49,CAD,43855,NGN,Other Personal Services,895,49
1800412,2023-12-31,db18-4a6d-898,100,CAD,89500,NGN,Health-Related,895,100
1800413,2023-12-31,c139-4fb9-88d,50,CAD,44750,NGN,Other Personal Services,895,50
1800414,2023-12-31,86c8-48eb-b6e,900,CAD,7920,GHS,Health-Related,8.8,876
1800418,2023-12-31,950a-4fdd-8ff,12,CAD,10740,NGN,Grants and Gifts,895,12
1800421,2023-12-31,fc91-4336-b1e,40,CAD,35800,NGN,School-Related,895,40
1800423,2023-12-31,3d12-469d-9ec,100,CAD,89500,NGN,Health-Related,895,100
1800424,2023-12-31,da9e-49f0-99e,23,CAD,20585,NGN,Health-Related,895,23
1800425,2023-12-31,c139-4fb9-88d,15,CAD,13425,NGN,Other Personal Services,895,15
1800426,2023-12-31,16e0-4e43-b17,300,CAD,268500,NGN,Deposits with/from Financial Institutions Abroad,895,300
1800427,2023-12-31,f6b0-4dd4-885,50,CAD,44750,NGN,Grants and Gifts,895,50
1800428,2023-12-31,f6b0-4dd4-885,50,CAD,44750,NGN,Grants and Gifts,895,50
1800429,2023-12-31,07f0-43cc-8fc,20,CAD,17900,NGN,Health-Related,895,20
1800430,2023-12-31,7b21-44c0-a0c,13,CAD,11635,NGN,Goods and Services,895,13
1800438,2023-12-31,bf72-4e65-99d,80,CAD,71600,NGN,Other Personal Services,895,80
1800439,2023-12-31,cb99-428e-85c,200,CAD,179000,NGN,Grants and Gifts,895,200
1800440,2023-12-31,5ed3-41a3-887,100000,NGN,110,CAD,School-Related,0.001098901,110
1800443,2023-12-31,fd65-4408-b61,56,CAD,50120,NGN,Grants and Gifts,895,56
1800444,2023-12-31,b617-4b36-a46,112,CAD,100240,NGN,Other Personal Services,895,112
1800445,2023-12-31,6650-4f3a-bfc,90,CAD,80550,NGN,Other Personal Services,895,90
1800447,2023-12-31,c31d-47ec-bd5,25000,NGN,27,CAD,Other Personal Services,0.001098901,27
1800448,2023-12-31,f532-44ba-b85,298415,NGN,328,CAD,Other Personal Services,0.001098901,328
1800449,2023-12-31,2c02-4f29-9ab,200,CAD,179000,NGN,Health-Related,895,200
1800452,2023-12-31,3f3a-40ea-a4e,34,CAD,30430,NGN,Health-Related,895,34
1800454,2023-12-31,8852-4cc2-912,1598000,NGN,1756,CAD,School-Related,0.001098901,1756
1800455,2023-12-31,9847-47c3-a08,115,CAD,102925,NGN,money to self,895,115
1800456,2023-12-31,2d58-40fc-b7d,70,CAD,62650,NGN,Grants and Gifts,895,70
1800457,2023-12-31,20fb-4514-816,100,CAD,89500,NGN,Deposits with/from Financial Institutions Abroad,895,100
1800462,2023-12-31,07f0-43cc-8fc,10,CAD,8950,NGN,Other Personal Services,895,10
1800463,2023-12-31,aa58-4196-be3,30,CAD,26850,NGN,Goods and Services,895,30
1800465,2023-12-31,321e-4d35-be5,56,CAD,50120,NGN,Grants and Gifts,895,56
1800466,2023-12-31,e57c-420d-9ce,40,CAD,35800,NGN,Goods and Services by Short Term Workers,895,40
1800468,2023-12-31,24c5-4728-9b9,49000,NGN,54,CAD,Goods and Services by Short Term Workers,0.001098901,54
1800470,2023-12-31,2717-467f-b65,10,CAD,8950,NGN,Goods and Services,895,10
1800471,2023-12-31,7c12-4ada-b9a,200,CAD,179000,NGN,Grants and Gifts,895,200
1800477,2023-12-31,1be4-482c-93f,20,CAD,17900,NGN,Maintenance and Repair Services n.i.e.,895,20
1800478,2023-12-31,fc62-4654-bab,100,CAD,89500,NGN,Grants and Gifts,895,100
1800480,2023-12-31,c596-4af9-a21,56,CAD,50120,NGN,Grants and Gifts,895,56
1800481,2023-12-31,3e4c-4a56-bae,1000,CAD,895000,NGN,Goods and Services,895,1000
1800482,2023-12-31,273c-42f4-8d9,454000,NGN,499,CAD,School-Related,0.001098901,499
1800484,2023-12-31,7dcf-46b2-956,1818550,NGN,1998,CAD,School-Related,0.001098901,1998
1800491,2023-12-31,bf3b-47b6-a39,120,CAD,107400,NGN,School-Related,895,120
1800493,2023-12-31,80b5-449e-987,56,CAD,50120,NGN,Other Personal Services,895,56
1800494,2023-12-31,55dc-41df-975,23,CAD,20585,NGN,Investment Income,895,23
1800495,2023-12-31,c5fa-4a36-847,23,CAD,20585,NGN,Maintenance and Repair Services n.i.e.,895,23
1800496,2023-12-31,6a14-40f6-90d,150,CAD,134250,NGN,Grants and Gifts,895,150
1800500,2023-12-31,2c90-4cf2-bb5,112,CAD,100008,NGN,Manufactured Goods,895,112
1800501,2023-12-31,5ebe-4dc7-a22,498391,NGN,548,CAD,School-Related,0.001098901,548
1800502,2023-12-31,a781-41bc-952,4099000,NGN,4504,CAD,School-Related,0.001098901,4504
1800509,2023-12-31,d874-4a5a-b75,23,CAD,20585,NGN,Interest,895,23
1800510,2023-12-31,6d93-4c5b-998,98500,NGN,108,CAD,School-Related,0.001098901,108
1800512,2023-12-31,5893-49a2-a76,500,CAD,447500,NGN,Other Personal Services,895,500
1800513,2023-12-31,acea-42e4-9a5,84,CAD,75180,NGN,Other Personal Services,895,84
1800514,2023-12-31,b636-400e-819,5002270,NGN,5497,CAD,Goods and Services by Travellers,0.001098901,5497
1800516,2023-12-31,bb6b-42d9-881,12,CAD,10740,NGN,Goods and Services,895,12
1800518,2023-12-31,281a-422f-88d,136500,NGN,150,CAD,School-Related,0.001098901,150
1800519,2023-12-31,acea-42e4-9a5,78,CAD,69810,NGN,Other Personal Services,895,78
1800524,2023-12-31,6d93-4c5b-998,98000,NGN,108,CAD,Goods and Services,0.001098901,108
1800525,2023-12-31,fae1-4d1f-881,20,CAD,17900,NGN,Grants and Gifts,895,20
1800526,2023-12-31,62fa-40a4-a72,195,CAD,174525,NGN,Deposits with/from Financial Institutions Abroad,895,195
1800530,2023-12-31,1517-4345-b1e,180,CAD,161100,NGN,Grants and Gifts,895,180
1800532,2023-12-31,b023-4e99-905,554382,NGN,609,CAD,School-Related,0.001098901,609
1800534,2023-12-31,8399-487f-b6b,1000,CAD,895000,NGN,Grants and Gifts,895,1000
1800538,2023-12-31,d338-4331-85d,12,CAD,10740,NGN,Goods and Services,895,12
1800540,2023-12-31,3971-46bd-b74,34,CAD,30430,NGN,Health-Related,895,34
1800541,2023-12-31,3121-4cbe-b5c,495,CAD,443025,NGN,Other Personal Services,895,495
1800544,2023-12-31,20eb-4b8c-9b2,20,CAD,17900,NGN,Maintenance and Repair Services n.i.e.,895,20
1800545,2023-12-31,71c4-4ca5-a03,65,CAD,58175,NGN,School-Related,895,65
1800546,2023-12-31,196d-413b-916,100,CAD,89500,NGN,Other Personal Services,895,100
1800547,2023-12-31,add8-4cac-b45,11,CAD,9845,NGN,Grants and Gifts,895,11
1800548,2023-12-31,b654-4912-ab5,149500,NGN,149500,NGN,Debit Account,1,167
1800550,2023-12-31,370a-40fa-999,100,CAD,89500,NGN,Goods and Services,895,100
1800551,2023-12-31,2ab5-493b-a47,600000,NGN,659,CAD,School-Related,0.001098901,659
1800554,2023-12-31,fb48-44eb-953,38,CAD,34010,NGN,Goods and Services,895,38
1800556,2023-12-31,56f4-4914-9dc,4550000,NGN,5000,CAD,Goods and Services,0.001098901,5000
1800557,2023-12-31,05d8-4742-9ce,200,CAD,179000,NGN,Goods and Services,895,200
1800558,2023-12-31,dbd4-4b65-ab5,455000,NGN,500,CAD,Health Services,0.001098901,500
1800565,2023-12-31,815a-41f6-b7f,400,CAD,358000,NGN,School-Related,895,400
1800566,2023-12-31,6fbc-4aa7-8a6,100,CAD,89500,NGN,Grants and Gifts,895,100
1800567,2023-12-31,e434-4ddc-bc0,150,CAD,113,USD,Other Personal Services,0.7502,149
1800568,2023-12-31,74b1-4066-802,100,CAD,89500,NGN,Grants and Gifts,895,100
1800569,2023-12-31,ff0a-464e-9ae,17,CAD,15215,NGN,Grants and Gifts,895,17
1800571,2023-12-31,0bbb-438c-b11,100,CAD,89500,NGN,Maintenance and Repair Services n.i.e.,895,100
1800574,2023-12-31,6656-4d1e-afd,12,CAD,10740,NGN,Investment Income,895,12
1800576,2023-12-31,269a-4f57-b7a,419,CAD,375005,NGN,School-Related,895,419
1800577,2023-12-31,c1ab-4a23-831,46,CAD,41170,NGN,Other Personal Services,895,46
1800578,2023-12-31,370a-40fa-999,102,CAD,91290,NGN,Goods and Services,895,102
1800579,2023-12-31,9145-4df1-b4f,89590,NGN,98,CAD,Other Personal Services,0.001098901,98
1800580,2023-12-31,bc87-4f62-87e,998000,NGN,1097,CAD,Other Personal Services,0.001098901,1097
1800581,2023-12-31,b09c-4e6a-800,90,CAD,80550,NGN,School-Related,895,90
1800582,2023-12-31,2f89-4561-b40,17000,NGN,19,CAD,Other Personal Services,0.001098901,19
1800584,2023-12-31,a36f-44b5-878,35,CAD,31325,NGN,Goods and Services,895,35
1800585,2023-12-31,60c8-40de-832,10,CAD,8950,NGN,Other Personal Services,895,10
1800586,2023-12-31,4211-4b62-9e5,10,CAD,8950,NGN,Grants and Gifts,895,10
1800587,2023-12-31,81be-4e0d-b0c,30,CAD,26850,NGN,Goods and Services,895,30
1800588,2023-12-31,6f8c-48ab-8d4,45,CAD,40275,NGN,Grants and Gifts,895,45
1800589,2023-12-31,c14d-4629-8f5,200,CAD,179000,NGN,Grants and Gifts,895,200
1800595,2023-12-31,b5ac-4ab7-8d5,40,CAD,35800,NGN,Other Personal Services,895,40
1800596,2023-12-31,dc2d-45d3-96b,4000000,NGN,4396,CAD,Deposits with/from Financial Institutions Abroad,0.001098901,4396
1800598,2023-12-31,6f8c-48ab-8d4,112,CAD,100240,NGN,Grants and Gifts,895,112
1800601,2023-12-31,0bbb-438c-b11,100,CAD,89500,NGN,Investment Income,895,100
1800602,2023-12-31,1f59-4679-96b,672,CAD,601440,NGN,School-Related,895,672
1800603,2023-12-31,5f10-43a5-9f8,605,CAD,541475,NGN,School-Related,895,605
1800605,2023-12-31,8a41-490a-947,50,CAD,44750,NGN,Grants and Gifts,895,50
1800606,2023-12-31,58fd-4a83-a39,1453,CAD,1300435,NGN,Goods and Services,895,1453
1800611,2023-12-31,85f4-4451-bef,500000,NGN,549,CAD,School-Related,0.001098901,549
1800612,2023-12-31,60d0-4f9d-924,2010000,NGN,2209,CAD,School-Related,0.001098901,2209
1800617,2023-12-31,b09f-4d1b-b73,56,CAD,50120,NGN,Grants and Gifts,895,56
1800618,2023-12-31,7a9e-4ade-923,898000,NGN,987,CAD,School-Related,0.001098901,987
1800621,2023-12-31,9661-4bf5-a82,70,CAD,62650,NGN,Investment Income,895,70
1800625,2023-12-31,488a-4b08-a03,3650000,NGN,4011,CAD,School-Related,0.001098901,4011
1800626,2023-12-31,4bd1-4a24-940,300000,NGN,330,CAD,Other Personal Services,0.001098901,330
1800627,2023-12-31,7d22-48d6-8a3,200,CAD,179000,NGN,Grants and Gifts,895,200
1800629,2023-12-31,f15b-42d4-b76,20,CAD,17900,NGN,Grants and Gifts,895,20
1800630,2023-12-31,a5cf-4c8e-a5c,18,CAD,16110,NGN,Interest,895,18
